name_english,name_hebrew,isAvailable,returnDate,description_english,description_hebrew,imageName,primaryColor,secondaryColor,website
Aegean Airlines,אג'יאן איירליינס,FALSE,13/07/2025,"Aegean Airlines is the flag carrier of Greece. Their flights from Israel to Larnaca, Athens, Crete, Thessaloniki, Rhodes, and other Mediterranean destinations are suspended until July 13.","אייג'יאן איירליינס היא חברת התעופה של יוון. טיסותיה מישראל ללרנקה, אתונה, כרתים, סלוניקי, רודוס ויעדים אחרים בים התיכון מושעות עד 13 ביולי.",aegean.webp,"hsl(210, 80%, 30%)","hsl(40, 100%, 50%)",https://en.aegeanair.com/
AeroMexico,אירו מקסיקו,FALSE,13/07/2025,"AeroMexico is the flag carrier airline of Mexico. Their flights to TLV are affected by cancellations, with disruptions expected until mid-July.","אארומקסיקו היא חברת התעופה הלאומית של מקסיקו. טיסותיהם לתל אביב מושפעות מביטולים, ושיבושים צפויים עד אמצע יולי.",aeromexico.webp,"hsl(0, 80%, 40%)","hsl(10, 100%, 70%)",https://aeromexico.com/
Air Baltic,אייר בולטיק,FALSE,03/07/2025,Air Baltic is the flag carrier airline of Latvia. Their flights from TLV to Riga are suspended until July 3.,"אייר בלטיק היא חברת התעופה הלאומית של לטביה. טיסותיהם מנתב""ג לריגה מושעות עד 3 ביולי.",airbaltic.webp,"hsl(100, 50%, 40%)","hsl(40, 100%, 60%)",https://www.airbaltic.com/
Air Canada,אייר קנדה,FALSE,08/09/2025,"Air Canada is the flag carrier and largest airline of Canada. They are not currently flying to or from Israel, but announced a return to TLV on September 8, 2025, with four weekly flights to Toronto.","אייר קנדה היא חברת התעופה הלאומית והגדולה ביותר בקנדה. היא אינה טסה כרגע לישראל או ממנה, אך הודיעה שתשוב לפעול בנתב""ג ב-8 בספטמבר 2025, עם ארבע טיסות שבועיות לטורונטו.",aircanada.webp,"hsl(0, 80%, 40%)","hsl(0, 0%, 100%)",https://www.aircanada.com/
Air Europa,אייר אירופה,FALSE,01/08/2025,Air Europa is a Spanish airline. Their flights between Tel Aviv and Madrid are suspended until August 1.,אייר אירופה היא חברת התעופה הספרדית. טיסותיהם בין תל אביב למדריד מושעות עד 1 באוגוסט.,aireuropa.webp,"hsl(220, 80%, 40%)","hsl(0, 0%, 100%)",https://www.aireuropa.com/
Air France,אייר פראנס,FALSE,01/07/2025,Air France is the flag carrier of France. Their flights from Israel to Paris are suspended until July 1.,אייר פראנס היא חברת התעופה הלאומית של צרפת. טיסותיה מישראל לפריז מושעות עד 1 ביולי.,airfrance.webp,"hsl(220, 80%, 40%)","hsl(0, 0%, 100%)",https://www.airfrance.com/
Air Haifa,אייר חיפה,FALSE,null,Air Haifa is a newer Israeli airline focusing on domestic and regional flights. They have terminated their flights to TLV.,אייר חיפה היא חברת תעופה ישראלית חדשה יותר המתמקדת בטיסות פנים-ארציות ואזוריות. היא הפסיקה את טיסותיה לתל אביב (TLV).,airhaifa.webp,"hsl(160, 50%, 40%)","hsl(200, 30%, 80%)",https://www.airhaifa.co.il/
Air India,אייר אינדיה,FALSE,01/08/2025,Air India is the flag carrier airline of India. Their flights between Tel Aviv and Delhi are suspended until August 1.,אייר אינדיה היא חברת התעופה הלאומית של הודו. טיסותיהם בין תל אביב לדלהי מושעות עד 1 באוגוסט.,airindia.webp,"hsl(0, 80%, 40%)","hsl(40, 100%, 50%)",https://www.airindia.com/
Air Malta,אייר מלטה,FALSE,null,Air Malta is the national airline of Malta. They are not currently flying to or from Israel.,אייר מלטה היא חברת התעופה הלאומית של מלטה. היא אינה טסה כרגע מישראל או אליה.,airmalta.webp,"hsl(200, 70%, 40%)","hsl(40, 100%, 50%)",https://www.airmalta.com/
American Airlines,אמריקן איירליינס,FALSE,30/09/2025,"American Airlines, a major US airline, is not currently flying to or from Israel. According to company publications, their flights from TLV are suspended until the end of September 2025.","אמריקן איירליינס, חברת תעופה אמריקאית גדולה, אינה טסה כרגע לישראל או אליה. לפי פרסומי החברה, טיסותיה מנתב""ג מושעות עד סוף ספטמבר 2025.",american.webp,"hsl(2, 80%, 45%)","hsl(220, 100%, 70%)",https://www.aa.com/
Arkia Israeli Airlines,ארקיע קווי תעופה ישראליים,TRUE,null,"Arkia is Israel's third-largest airline, providing scheduled domestic and international services. It is currently resuming outbound flights to various destinations.","ארקיע היא חברת התעופה השלישית בגודלה בישראל, המציעה טיסות סדירות וטיסות שכר. היא מחדשת בימים אלה טיסות יוצאות ליעדים שונים.",arkia.webp,"hsl(196, 100%, 40%)","hsl(30, 100%, 50%)",https://www.arkia.com/
Austrian Airlines,אוסטריאן איירליינס,FALSE,01/08/2025,"Austrian Airlines, a Lufthansa Group member, operates flights from Israel to Vienna. They announced a return to TLV on August 1, 2025.","אוסטריאן איירליינס, חברה בקבוצת לופטהנזה, מפעילה טיסות מישראל לווינה. הם הודיעו שישובו לפעול בנתב""ג ב-1 באוגוסט 2025.",austrian.webp,"hsl(0, 80%, 40%)","hsl(0, 0%, 100%)",https://www.austrian.com/
Azerbaijan Airlines,אזרבייג'ן איירליינס,TRUE,null,"Azerbaijan Airlines (AZAL) is the flag carrier of Azerbaijan, operating flights between Tel Aviv and Baku.","אזרבייג'ן איירליינס (AZAL) היא חברת התעופה הלאומית של אזרבייג'ן, המפעילה טיסות בין תל אביב לבאקו.",azerbaijan.webp,"hsl(220, 60%, 40%)","hsl(0, 0%, 100%)",https://www.azal.az/
Bluebird Airways,בלו בירד איירליינס,TRUE,null,"Bluebird Airways, a Greek airline, operates flights from Israel to various destinations, including Athens, Budapest, and other Mediterranean locations.","בלובירד איירווייז, חברת תעופה יוונית, מפעילה טיסות מישראל למגוון יעדים, כולל אתונה, בודפשט ויעדים אחרים בים התיכון.",bluebird.webp,"hsl(210, 70%, 40%)","hsl(40, 100%, 60%)",https://www.bluebirdair.com/
British Airways,בריטיש איירווייז,FALSE,25/10/2025,"British Airways is the flag carrier airline of the United Kingdom, operating flights between Tel Aviv and London. They announced an extension of flight suspensions until at least October 25, 2025.","בריטיש איירווייז היא חברת התעופה הלאומית של הממלכה המאוחדת, המפעילה טיסות בין תל אביב ללונדון. הם הודיעו על הארכת השעיית הטיסות עד 25 באוקטובר 2025 לפחות.",british.webp,"hsl(220, 80%, 30%)","hsl(0, 80%, 40%)",https://www.britishairways.com/
Brussels Airlines,בריסל איירליינס,FALSE,01/08/2025,"Brussels Airlines is the flag carrier of Belgium and a member of the Lufthansa Group. They announced a return to TLV on August 1, 2025.","בריסל איירליינס היא חברת התעופה הלאומית של בלגיה וחברה בקבוצת לופטהנזה. הם הודיעו שישובו לפעול בנתב""ג ב-1 באוגוסט 2025.",brussels.webp,"hsl(220, 60%, 40%)","hsl(220, 0%, 100%)",https://www.brusselsairlines.com/
Cathay Pacific,קת'אי פסיפיק,FALSE,null,Cathay Pacific is the flag carrier of Hong Kong. They are not currently flying to or from Israel.,קת'אי פסיפיק היא חברת התעופה הלאומית של הונג קונג. היא אינה טסה כרגע לישראל או אליה.,cathay.webp,"hsl(140, 50%, 30%)","hsl(200, 10%, 90%)",https://www.cathaypacific.com/
Corendon,קורנדון,TRUE,null,"Corendon Airlines is a Turkish leisure airline, operating flights from Tel Aviv to various destinations in Greece, Larnaca, and Bucharest.","קורנדון איירליינס היא חברת תעופה טורקית לנופש, המפעילה טיסות מתל אביב למבחר יעדים ביוון, לרנקה ובוקרשט.",corendon.webp,"hsl(180, 80%, 30%)","hsl(40, 100%, 50%)",https://www.corendonairlines.com/
Delta Air Lines,דלתא איירליינס,FALSE,01/09/2025,"Delta Air Lines operates flights between Tel Aviv and the USA. Their flights are suspended until September 1, 2025.","דלתא איירליינס מפעילה טיסות בין תל אביב לארה""ב. טיסותיהם מושעות עד 1 בספטמבר 2025.",delta.webp,"hsl(0, 70%, 40%)","hsl(220, 10%, 90%)",https://www.delta.com/
easyJet,איזיג'ט,FALSE,25/10/2025,"EasyJet is a British low-cost airline operating flights from Israel to various European destinations. Their return to TLV is postponed until October 25, 2025.","איזיג'ט היא חברת תעופה בריטית בעלות נמוכה, המפעילה טיסות מישראל למגוון יעדים באירופה. חזרתם לתל אביב נדחתה עד 25 באוקטובר 2025.",easyjet.webp,"hsl(28, 100%, 50%)","hsl(0, 0%, 100%)",https://www.easyjet.com/
El Al Israel,אל על ישראל,TRUE,null,"El Al, Israel's flag carrier, operates scheduled international and domestic services from Ben Gurion Airport. It is actively operating flights and resuming efforts for repatriation.","אל על, חברת התעופה הלאומית של ישראל, מפעילה טיסות סדירות בינלאומיות ופנימיות מנתב""ג. היא פועלת באופן אקטיבי ומחדשת טיסות למטרות חזרת אזרחים.",elal.webp,"hsl(220, 40%, 30%)","hsl(44, 100%, 50%)",https://www.elal.com/
Emirates,אמירטס,FALSE,04/2026,"Emirates is one of the two flag carriers of the UAE. Their flights to Dubai are suspended until April 2026, though they operate flights in cooperation with Flydubai.","אמירייטס היא אחת משתי חברות התעופה של איחוד האמירויות. טיסותיה לדובאי מושעות עד אפריל 2026, אך היא מפעילה טיסות בשיתוף פעולה עם פליידובאי.",emirates.webp,"hsl(0, 80%, 30%)","hsl(0, 0%, 100%)",https://www.emirates.com/
Ethiopian Airlines,אתיופיאן איירליינס,FALSE,01/07/2025,Ethiopian Airlines operates flights between Tel Aviv and Addis Ababa. Their flights are suspended until July 1.,אתיופיאן איירליינס מפעילה טיסות בין תל אביב לאדיס אבבה. טיסותיהם מושעות עד 1 ביולי.,Ethiopian.webp,"hsl(40, 100%, 50%)","hsl(120, 60%, 40%)",https://www.ethiopianairlines.com/
Etihad Airways,איתיחאד איירווייז,FALSE,01/07/2025,Etihad Airways operates flights between Tel Aviv and Abu Dhabi. Their flights to Israel are suspended until July 1.,איתיחאד איירווייז מפעילה טיסות בין תל אביב לאבו דאבי. טיסותיהם לישראל מושעות עד 1 ביולי.,etihad.webp,"hsl(160, 70%, 25%)","hsl(200, 10%, 90%)",https://www.etihad.com/
Eurowings,יורווינגס,FALSE,01/08/2025,"Eurowings operates flights between Tel Aviv and Düsseldorf, Prague, and Hamburg. They announced a return to TLV on August 1, 2025.","יורווינגס מפעילה טיסות בין תל אביב לדיסלדורף, פראג והמבורג. הם הודיעו שישובו לפעול בנתב""ג ב-1 באוגוסט 2025.",eurowings.webp,"hsl(220, 60%, 25%)","hsl(40, 100%, 50%)",https://www.eurowings.com/
Finnair,פינאייר,FALSE,null,Finnair is the flag carrier and largest airline of Finland. They are not currently flying to or from Israel.,פינאייר היא חברת התעופה הלאומית והגדולה ביותר של פינלנד. היא אינה טסה כרגע לישראל או אליה.,finnair.webp,"hsl(220, 80%, 40%)","hsl(0, 0%, 100%)",https://www.finnair.com/
Flydubai,פליי דובאי,FALSE,01/07/2025,Flydubai operates flights between Tel Aviv and Dubai. Their flights to Israel are suspended until July 1.,פליידובאי מפעילה טיסות בין תל אביב לדובאי. טיסותיהם לישראל מושעות עד 1 ביולי.,flydubai.webp,"hsl(210, 80%, 40%)","hsl(0, 0%, 100%)",https://www.flydubai.com/
Hainan Airlines,היינאן איירליינס,TRUE,null,"Hainan Airlines is a major Chinese airline, operating flights between Tel Aviv and Shenzhen and Beijing.","היינאן איירליינס היא חברת תעופה סינית גדולה, המפעילה טיסות בין תל אביב לשנזן ובייג'ינג.",hainan.webp,"hsl(0, 80%, 40%)","hsl(0, 0%, 100%)",https://global.hnair.com/
Iberia,איבריה,FALSE,26/10/2025,"Iberia operates flights from TLV to Madrid and Barcelona via IBERIA EXPRESS. They announced a return to TLV on October 26, 2025.","איבריה מפעילה טיסות מנתב""ג למדריד וברצלונה באמצעות IBERIA EXPRESS. הם הודיעו שישובו לפעול בנתב""ג ב-26 באוקטובר 2025.",ita.webp,"hsl(200, 80%, 40%)","hsl(100, 50%, 60%)",https://www.ita-airways.com/
